action,index,row
insert,37,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,38,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,39,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,40,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,41,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,42,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,43,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,44,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,45,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,46,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,47,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,48,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,49,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,50,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,51,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,52,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,53,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,54,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,55,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,56,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,57,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,58,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,59,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,60,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,61,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,62,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,63,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,64,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,65,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,66,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,67,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,68,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,69,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,70,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,71,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,72,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,73,"{'cost center': 'YT242', 'country code': 'YT'}"
insert,74,"{'cost center': '112638', 'country code': 'EG'}"
insert,75,"{'cost center': '112638', 'country code': 'EG'}"
insert,76,"{'cost center': '112638', 'country code': 'EG'}"
insert,77,"{'cost center': '112638', 'country code': 'EG'}"
insert,78,"{'cost center': '112638', 'country code': 'EG'}"
insert,79,"{'cost center': '112638', 'country code': 'EG'}"
insert,80,"{'cost center': '112638', 'country code': 'EG'}"
insert,81,"{'cost center': '112638', 'country code': 'EG'}"
insert,82,"{'cost center': '112638', 'country code': 'EG'}"
insert,83,"{'cost center': '112638', 'country code': 'EG'}"
insert,84,"{'cost center': '112638', 'country code': 'EG'}"
insert,85,"{'cost center': '112638', 'country code': 'EG'}"
insert,86,"{'cost center': '112638', 'country code': 'EG'}"
insert,87,"{'cost center': '112638', 'country code': 'EG'}"
insert,88,"{'cost center': '112638', 'country code': 'EG'}"
insert,89,"{'cost center': '112638', 'country code': 'EG'}"
insert,90,"{'cost center': '112638', 'country code': 'EG'}"
insert,91,"{'cost center': '112638', 'country code': 'EG'}"
insert,92,"{'cost center': '112638', 'country code': 'EG'}"
insert,93,"{'cost center': '112638', 'country code': 'EG'}"
insert,94,"{'cost center': '112638', 'country code': 'EG'}"
insert,95,"{'cost center': '112638', 'country code': 'EG'}"
insert,96,"{'cost center': '112638', 'country code': 'EG'}"
insert,97,"{'cost center': '112638', 'country code': 'EG'}"
insert,98,"{'cost center': '112638', 'country code': 'EG'}"
insert,99,"{'cost center': '112638', 'country code': 'EG'}"
insert,100,"{'cost center': '112638', 'country code': 'EG'}"
insert,101,"{'cost center': '112638', 'country code': 'EG'}"
insert,102,"{'cost center': '112638', 'country code': 'EG'}"
insert,103,"{'cost center': '112638', 'country code': 'EG'}"
insert,104,"{'cost center': '112638', 'country code': 'EG'}"
insert,105,"{'cost center': '112638', 'country code': 'EG'}"
insert,106,"{'cost center': '112638', 'country code': 'EG'}"
insert,107,"{'cost center': '112638', 'country code': 'EG'}"
insert,108,"{'cost center': '112638', 'country code': 'EG'}"
insert,109,"{'cost center': '112638', 'country code': 'EG'}"
insert,110,"{'cost center': '112638', 'country code': 'EG'}"
insert,111,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,112,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,113,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,114,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,115,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,116,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,117,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,118,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,119,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,120,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,121,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,122,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,123,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,124,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,125,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,126,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,127,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,128,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,129,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,130,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,131,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,132,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,133,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,134,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,135,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,136,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,137,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,138,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,139,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,140,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,141,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,142,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,143,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,144,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,145,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,146,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,147,"{'cost center': 'ER1112S001', 'country code': 'ER'}"
insert,148,"{'cost center': '100000', 'country code': 'ET'}"
insert,149,"{'cost center': '100000', 'country code': 'ET'}"
insert,150,"{'cost center': '100000', 'country code': 'ET'}"
insert,151,"{'cost center': '100000', 'country code': 'ET'}"
insert,152,"{'cost center': '100000', 'country code': 'ET'}"
insert,153,"{'cost center': '100000', 'country code': 'ET'}"
insert,154,"{'cost center': '100000', 'country code': 'ET'}"
insert,155,"{'cost center': '100000', 'country code': 'ET'}"
insert,156,"{'cost center': '100000', 'country code': 'ET'}"
insert,157,"{'cost center': '100000', 'country code': 'ET'}"
insert,158,"{'cost center': '100000', 'country code': 'ET'}"
insert,159,"{'cost center': '100000', 'country code': 'ET'}"
insert,160,"{'cost center': '100000', 'country code': 'ET'}"
insert,161,"{'cost center': '100000', 'country code': 'ET'}"
insert,162,"{'cost center': '100000', 'country code': 'ET'}"
insert,163,"{'cost center': '100000', 'country code': 'ET'}"
insert,164,"{'cost center': '100000', 'country code': 'ET'}"
insert,165,"{'cost center': '100000', 'country code': 'ET'}"
insert,166,"{'cost center': '100000', 'country code': 'ET'}"
insert,167,"{'cost center': '100000', 'country code': 'ET'}"
insert,168,"{'cost center': '100000', 'country code': 'ET'}"
insert,169,"{'cost center': '100000', 'country code': 'ET'}"
insert,170,"{'cost center': '100000', 'country code': 'ET'}"
insert,171,"{'cost center': '100000', 'country code': 'ET'}"
insert,172,"{'cost center': '100000', 'country code': 'ET'}"
insert,173,"{'cost center': '100000', 'country code': 'ET'}"
insert,174,"{'cost center': '100000', 'country code': 'ET'}"
insert,175,"{'cost center': '100000', 'country code': 'ET'}"
insert,176,"{'cost center': '100000', 'country code': 'ET'}"
insert,177,"{'cost center': '100000', 'country code': 'ET'}"
insert,178,"{'cost center': '100000', 'country code': 'ET'}"
insert,179,"{'cost center': '100000', 'country code': 'ET'}"
insert,180,"{'cost center': '100000', 'country code': 'ET'}"
insert,181,"{'cost center': '100000', 'country code': 'ET'}"
insert,182,"{'cost center': '100000', 'country code': 'ET'}"
insert,183,"{'cost center': '100000', 'country code': 'ET'}"
insert,184,"{'cost center': '100000', 'country code': 'ET'}"
insert,185,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,186,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,187,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,188,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,189,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,190,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,191,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,192,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,193,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,194,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,195,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,196,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,197,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,198,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,199,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,200,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,201,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,202,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,203,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,204,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,205,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,206,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,207,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,208,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,209,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,210,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,211,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,212,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,213,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,214,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,215,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,216,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,217,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,218,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,219,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,220,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,221,"{'cost center': 'MG111SAFIA', 'country code': 'MG'}"
insert,222,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,223,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,224,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,225,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,226,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,227,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,228,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,229,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,230,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,231,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,232,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,233,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,234,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,235,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,236,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,237,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,238,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,239,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,240,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,241,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,242,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,243,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,244,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,245,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,246,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,247,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,248,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,249,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,250,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,251,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,252,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,253,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,254,"{'cost center': 'MA111S4386', 'country code': 'MA'}"
insert,255,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,256,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,257,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,258,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,259,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,260,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,261,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,262,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,263,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,264,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,265,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,266,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,267,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,268,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,269,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,270,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,271,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,272,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,273,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,274,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,275,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,276,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,277,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,278,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,279,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,280,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,281,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,282,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,283,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,284,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,285,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,286,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,287,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,288,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,289,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,401,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,402,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,403,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,404,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,405,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,406,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,407,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,408,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,409,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,410,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,411,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,412,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,413,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,414,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,415,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,416,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,417,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,418,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,419,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,420,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,421,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,422,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,423,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,424,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,425,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,426,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
